ano,cbo,n,mean_h,p50,pct_30,pct_36,pct_40,pct_44,d_mean_h,d_pct_30,d_pct_36,d_pct_40,d_pct_44,score_drop44,score_rise36,score_drop_mean
2012,5211,5895809,43.32256641963803,44,0.002958203021841447,0.024361203017261922,0.006970544669951147,0.9413853128552842,-0.004842298732860684,-0.0004918348622385471,0.0011051639992989207,0.0005457355068250788,-0.0015719610112463478,-0.0015719610112463478,0.0011051639992989207,-0.004842298732860684
2013,5211,6065402,43.26533228959928,44,0.003699837207822334,0.02529922996035547,0.007146269942206633,0.93673708684107,-0.057234130038750664,0.0007416341859808871,0.0009380269430935492,0.00017572527225548622,-0.004648226014214107,-0.004648226014214107,0.0009380269430935492,-0.057234130038750664
2014,5211,6142366,43.26212619046143,44,0.004609298762073117,0.02542163719973704,0.007083752417228149,0.9367510825632989,-0.003206099137848639,0.0009094615542507827,0.0001224072393815681,-6.251752497848408e-05,1.3995722228821172e-05,1.3995722228821172e-05,0.0001224072393815681,-0.003206099137848639
2015,5211,5903850,43.16615056276841,44,0.005698993029971967,0.026602810030742653,0.008088281375712459,0.9300004234524929,-0.09597562769302215,0.0010896942678988502,0.0011811728310056127,0.0010045289584843095,-0.006750659110805968,-0.006750659110805968,0.0011811728310056127,-0.09597562769302215
2016,5211,5549811,43.09594560967929,44,0.005296396579991643,0.027237504124014312,0.0089356196093885,0.9255859343678551,-0.07020495308911734,-0.0004025964499803237,0.0006346940932716594,0.0008473382336760416,-0.004414489084637818,-0.004414489084637818,0.0006346940932716594,-0.07020495308911734
2017,5211,5492657,43.07093342985003,44,0.0043649184720618815,0.026823266044102154,0.00848460044018769,0.9247358791928934,-0.025012179829261072,-0.0009314781079297618,-0.00041423807991215755,-0.00045101916920081003,-0.000850055174961728,-0.000850055174961728,-0.00041423807991215755,-0.025012179829261072
2018,5211,5635143,42.96177825478433,44,0.00566693693487459,0.027714114797086783,0.009562845166484684,0.9169758424941479,-0.10915517506570183,0.0013020184628127086,0.0008908487529846291,0.0010782447262969938,-0.007760036698745476,-0.007760036698745476,0.0008908487529846291,-0.10915517506570183
2019,5211,5640744,42.828375831273284,44,0.006263535448515302,0.027448152229564045,0.012020222864217911,0.8971167633205832,-0.13340242351104337,0.0005965985136407118,-0.00026596256752273867,0.0024573776977332273,-0.019859079173564664,-0.019859079173564664,-0.00026596256752273867,-0.13340242351104337
2003,5231,17175,43.712314410480346,44,0.0006404657933042213,0.0018049490538573508,0.013682678311499273,0.9710625909752547,,,,,,,,
2004,5231,19259,43.7296848226803,44,0.0005192377589698323,0.0017134846046004465,0.007632795056856535,0.9767381483981515,0.017370412199952057,-0.00012122803433438898,-9.146444925690433e-05,-0.006049883254642738,0.005675557422896826,0.005675557422896826,-9.146444925690433e-05,0.017370412199952057
2005,5231,21493,43.745638114735016,44,0.0006048480900758387,0.0010701158516726375,0.005397106034522868,0.9837156283441121,0.01595329205471785,8.56103311060064e-05,-0.0006433687529278089,-0.002235689022333667,0.006977479945960541,0.006977479945960541,-0.0006433687529278089,0.01595329205471785
2006,5231,22925,43.73980370774263,44,0.0004798255179934569,0.001395856052344602,0.005016357688113413,0.9839912758996728,-0.0058344069923848,-0.00012502257208238176,0.00032574020067196443,-0.00038074834640945427,0.00027564755556075404,0.00027564755556075404,0.00032574020067196443,-0.0058344069923848
2007,5231,25326,43.79120271657586,44,0.00039485114111979786,0.0009871278527994946,0.0037116007265260995,0.986338150517255,0.05139900883322923,-8.497437687365905e-05,-0.00040872819954510735,-0.001304756961587314,0.0023468746175822064,0.0023468746175822064,-0.00040872819954510735,0.05139900883322923
2008,5231,28695,43.81561247604112,44,0.0003484927687750479,0.0010106290294476389,0.004669803101585642,0.9863739327408956,0.024409759465257252,-4.6358372344749955e-05,2.3501176648144237e-05,0.0009582023750595425,3.578222364053474e-05,3.578222364053474e-05,2.3501176648144237e-05,0.024409759465257252
2009,5231,29139,43.77271011359347,44,0.00034318267613850855,0.0010638662960293765,0.005971378564810048,0.9814681354885205,-0.04290236244764856,-5.310092636539351e-06,5.323726658173762e-05,0.001301575463224406,-0.004905797252375055,-0.004905797252375055,5.323726658173762e-05,-0.04290236244764856
2010,5231,31597,43.777573820299395,44,0.0006329714846346172,0.000696268633098079,0.006867740608285597,0.9820869069848404,0.004863706705926063,0.0002897888084961087,-0.00036759766293129753,0.0008963620434755491,0.0006187714963198365,0.0006187714963198365,-0.00036759766293129753,0.004863706705926063
2011,5231,34503,43.74906529866968,44,0.0008115236356258876,0.0013622003883720256,0.005709648436367852,0.9824652928730835,-0.02850852162971762,0.00017855215099127038,0.0006659317552739466,-0.0011580921719177451,0.0003783858882431268,0.0003783858882431268,0.0006659317552739466,-0.02850852162971762
