efficiency_mode,sigma_sub,wedge_relief_national,omega,hourly_ratio_target,hourly_ratio_implied,bridge_residual,baseline_operator_h0,hours_cap,tau_national,tau_national_cap,pi_national,Y0,Y1,dY_pct,A_req_pct,A_req_signed_pct,A_req_nonnegative_pct,A_req_frozen_pct,baseline_informality_pct,informality_pct,dInf_pp,restoration_residual,frozen_restoration_residual,max_kkt_violation,baseline_NF,reform_NF,compensated_NF,NF_init,gamma_F
bilateral,2.45,0.45,0.5534370473616397,1.6824732562046965,1.682473256204696,-4.440892098500626e-16,44.0,36.0,2.515725883259651,1.383649235792808,0.0,3.956243207630961,3.7666282958723745,-4.792802206721003,4.835807374937207,4.835807374937207,4.835807374937207,7.897853336279703,38.60008721172533,28.719956232077184,-9.88013097964815,6.8833827526759706e-15,-1.1102230246251565e-16,8.915090887740006e-16,0.36225948545082054,0.4205522582307446,0.42580783673962863,0.3622594854508205,0.06
bilateral,2.45,0.4666666666666667,0.5534370473616397,1.6824732562046965,1.682473256204696,-4.440892098500626e-16,44.0,36.0,2.515725883259651,1.3417204710718138,0.0,3.956243207630961,3.771351118259175,-4.673425764502004,4.72311853943661,4.72311853943661,4.72311853943661,7.897853336279703,38.60008721172533,28.134099165764443,-10.46598804596089,4.440892098500626e-15,-1.1102230246251565e-16,1.145784855882681e-15,0.36225948545082054,0.4240088149219898,0.42892125441166984,0.3622594854508205,0.06
bilateral,2.45,0.48333333333333334,0.5534370473616397,1.6824732562046965,1.682473256204696,-4.440892098500626e-16,44.0,36.0,2.515725883259651,1.2997917063508195,0.0,3.956243207630961,3.7758618673614937,-4.559409793653247,4.615171074589353,4.615171074589353,4.615171074589353,7.897853336279703,38.60008721172533,27.556925448673063,-11.043161763052268,3.9968028886505635e-15,-1.1102230246251565e-16,8.915090887740006e-16,0.36225948545082054,0.4274141398528289,0.43200087917189994,0.3622594854508205,0.06
bilateral,2.45,0.5,0.5534370473616397,1.6824732562046965,1.682473256204696,-4.440892098500626e-16,44.0,36.0,2.515725883259651,1.2578629416298255,0.0,3.956243207630961,3.7801634126384025,-4.450681764279018,4.511930923117458,4.511930923117458,4.511930923117458,7.897853336279703,38.60008721172533,26.988619359713518,-11.611467852011808,2.4424906541753444e-15,-1.1102230246251565e-16,1.5317608292875207e-15,0.36225948545082054,0.4307671457776902,0.43504509684834497,0.3622594854508205,0.06
bilateral,2.45,0.5166666666666666,0.5534370473616397,1.6824732562046965,1.682473256204696,-4.440892098500626e-16,44.0,36.0,2.515725883259651,1.2159341769088314,0.0,3.956243207630961,3.7842589151830923,-4.3471617749924585,4.413356376615107,4.413356376615107,4.413356376615107,7.897853336279703,38.60008721172533,26.429343976517597,-12.170743235207732,2.220446049250313e-15,-1.1102230246251565e-16,9.194034422677078e-16,0.36225948545082054,0.43406687053854615,0.4380523858358515,0.3622594854508205,0.06
bilateral,2.45,0.5333333333333333,0.5534370473616397,1.6824732562046965,1.682473256204696,-4.440892098500626e-16,44.0,36.0,2.515725883259651,1.1740054121878372,0.0,3.956243207630961,3.7881518054713896,-4.248763115355247,4.3193983606128805,4.3193983606128805,4.3193983606128805,7.897853336279703,38.60008721172533,25.879241377655575,-12.720845834069754,1.7763568394002505e-15,-1.1102230246251565e-16,1.3686968225457008e-15,0.36225948545082054,0.4373124758718321,0.4410213217405512,0.3622594854508205,0.06
bilateral,2.45,0.55,0.5534370473616397,1.6824732562046965,1.682473256204696,-4.440892098500626e-16,44.0,36.0,2.515725883259651,1.132076647466843,0.0,3.956243207630961,3.791845760591344,-4.155392841434025,4.230000762158448,4.230000762158448,4.230000762158448,7.897853336279703,38.60008721172533,25.338432956412127,-13.261654255313198,8.881784197001252e-16,-1.1102230246251565e-16,8.915090887740006e-16,0.36225948545082054,0.4405032455571684,0.44395058125189735,0.3622594854508205,0.06
bilateral,2.45,0.5666666666666667,0.5534370473616397,1.6824732562046965,1.682473256204696,-4.440892098500626e-16,44.0,36.0,2.515725883259651,1.0901478827458488,0.0,3.956243207630961,3.7953446811755884,-4.06695235886978,4.145100795517642,4.145100795517642,4.145100795517642,7.897853336279703,38.60008721172533,24.807019837438222,-13.793067374287107,6.661338147750939e-16,-1.1102230246251565e-16,8.915090887740006e-16,0.36225948545082054,0.44363858295911446,0.4468389452219816,0.3622594854508205,0.06
bilateral,2.45,0.5833333333333334,0.5534370473616397,1.6824732562046965,1.682473256204696,-4.440892098500626e-16,44.0,36.0,2.515725883259651,1.0482191180248546,0.0,3.956243207630961,3.798652668247636,-3.9833380081224057,4.064629401186126,4.064629401186126,4.064629401186126,7.897853336279703,38.60008721172533,24.28508338692708,-14.315003824798248,6.661338147750939e-16,-1.1102230246251565e-16,8.915090887740006e-16,0.36225948545082054,0.4467180080171302,0.44968530094427445,0.3622594854508205,0.06
bilateral,2.45,0.6,0.5534370473616397,1.6824732562046965,1.682473256204696,-4.440892098500626e-16,44.0,36.0,2.515725883259651,1.0062903533038605,0.0,3.956243207630961,3.801774000180053,-3.9044416468876797,3.9885116730994152,3.9885116730994152,3.9885116730994152,7.897853336279703,38.60008721172533,23.772685806486624,-14.82740140523871,4.440892098500626e-16,-1.1102230246251565e-16,1.592476150946709e-15,0.36225948545082054,0.4497411537417289,0.45248864363604496,0.3622594854508205,0.06
