version,efficiency_mode,hours_cap,sigma_sub,omega,kappa,Y0,Y1,C0,C1,dY_pct,A_req_pct,A_req_frozen_pct,baseline_informality_pct,informality_pct,dInf_pp,dGHH_pct,CE_pct,hours_pct,efficiency_pct,reallocation_pct,decomposition_total_pct,dimension,E_Q,h_star,eta_I,bridge_target,bridge_residual,baseline_operator_h0,interpretation
empirical_sensitivity_topcoded44,bilateral,40,1.326,0.6753802439191128,0.003164705983623533,4.13576241145319,4.084966262758809,4.13576241145319,4.084966093310869,-1.2282172823494752,1.1474391947101203,1.09022699735275,38.600087211725366,39.002902094183725,0.4028148824583633,0.789229197428282,0.6182295379854876,-2.242915695220939,1.1644464606219223,-0.1497480477504538,-1.2282172823494708,efficiency,0.4,40.0,0.4,1.6824732562046965,2.4424906541753444e-15,44.0,Conditional base44 hourly mapping; not an identified set
empirical_sensitivity_topcoded44,bilateral,40,0.6,0.891239568734476,0.0021098039890823555,4.678887273641691,4.612053326719664,4.678887273641691,4.612053309333351,-1.4284154118978876,1.3945669007989103,1.4992713059018836,38.60008721172507,38.47105708967404,-0.1290301220510215,0.5047311407618378,0.3953727269301062,-2.255245016428171,0.7781198246784352,0.0487097798518457,-1.4284154118978902,sigma,0.6,40.0,0.4,1.6824732562046965,4.440892098500626e-16,44.0,Conditional base44 hourly mapping; not an identified set
empirical_sensitivity_topcoded44,bilateral,40,1.0,0.7507956422439133,0.0021098039890823555,4.336778249035327,4.268834441978343,4.336778249035327,4.268834376506608,-1.5666885221096494,1.4954774362125223,1.4954774362124779,38.60008721172534,38.85047565779713,0.25038844607179755,0.34885227999621016,0.2732676193303646,-2.2466985386856173,0.7732561016545291,-0.09324608507856454,-1.5666885221096527,sigma,0.6,40.0,0.4,1.6824732562046965,-2.195910120406097e-11,44.0,Conditional base44 hourly mapping; not an identified set
empirical_sensitivity_topcoded44,bilateral,40,1.326,0.6756514587578325,0.0021098039890823555,4.184726136567193,4.114567073902902,4.184726136567193,4.114566755851357,-1.6765508751271252,1.5725760814771839,1.494071855542023,38.60008721172534,39.15195635994256,0.5518691482172211,0.2249881084948079,0.17624068498759954,-2.2435240598822053,0.771446106729871,-0.20447292197479433,-1.6765508751271287,sigma,0.6,40.0,0.4,1.6824732562046965,4.440892098500626e-16,44.0,Conditional base44 hourly mapping; not an identified set
empirical_sensitivity_topcoded44,bilateral,40,1.5,0.646241203480732,0.0021098039890823555,4.128151606492669,4.0565622547544224,4.128151606492669,4.056561728314506,-1.7341744820043137,1.6119804401989457,1.4935708691048877,38.60008721172537,39.31009279995475,0.7100055882293732,0.16001552929016646,0.12534549794396374,-2.242391545040198,0.7707999394683162,-0.26258287643242906,-1.7341744820043106,sigma,0.6,40.0,0.4,1.6824732562046965,-5.551115123125783e-15,44.0,Conditional base44 hourly mapping; not an identified set
empirical_sensitivity_topcoded44,bilateral,40,2.0,0.5872009385335931,0.0021098039890823555,4.017889400719232,3.9417125115021427,4.017889400719232,3.941711120850454,-1.8959429098136305,1.7189999437728698,1.492615182914836,38.600087211725366,39.754062595825324,1.153975384099959,-0.022402169002388478,-0.017548365718537642,-2.2402296362049032,0.7695658049253876,-0.4252790785341119,-1.8959429098136276,sigma,0.6,40.0,0.4,1.6824732562046965,2.90878432451791e-14,44.0,Conditional base44 hourly mapping; not an identified set
empirical_sensitivity_topcoded44,bilateral,36,1.326,0.6753802439191128,0.003164705983623533,4.13576241145319,3.7707115474926374,4.13576241145319,3.7707016356389986,-8.82668847102086,8.845659708802378,8.395830791549308,38.600087211725366,41.68089640273052,3.0808091910051516,-4.915858401602775,-3.8507557479221735,-6.742097858003243,-1.0034314028914055,-1.0811592101262097,-8.826688471020859,efficiency,0.4,40.0,0.4,1.6824732562046965,2.4424906541753444e-15,44.0,Conditional base44 hourly mapping; not an identified set
empirical_sensitivity_topcoded44,bilateral,36,1.326,0.6756514587578325,0.0021098039890823555,4.184726136567193,3.8333086095153623,4.184726136567193,3.833299700873009,-8.397623060229797,8.381260761025477,7.955503883426318,38.60008721172534,41.520828722211924,2.920741510486585,-4.365855055297139,-3.4199197933160925,-6.707031454034781,-0.6622119816838027,-1.0283796245112191,-8.397623060229801,efficiency,0.6,40.0,0.4,1.6824732562046965,4.440892098500626e-16,44.0,Conditional base44 hourly mapping; not an identified set
empirical_sensitivity_topcoded44,bilateral,36,1.326,0.6757995269550134,0.0010549019945411775,4.238516985167174,3.9012079223402636,4.238516985167174,3.901199979099968,-7.95818594115193,7.9095532448634875,7.50819879862763,38.60008721172536,41.358036087809666,2.757948876084304,-3.8025751510139973,-2.9786838682942984,-6.65684758269519,-0.3269907501292148,-0.9743476083275243,-7.958185941151929,efficiency,0.8,40.0,0.4,1.6824732562046965,1.5543122344752192e-15,44.0,Conditional base44 hourly mapping; not an identified set
empirical_sensitivity_topcoded44,bilateral,36,1.326,0.6757603959108988,0.0,4.2995567632993525,3.977000193716166,4.2995567632993525,3.976993187358259,-7.502088874288193,7.424102114359399,7.0478092659947755,38.60008721172536,41.19028853166971,2.590201319944346,-3.21795980418126,-2.520735179941987,-6.583795889257506,0.0,-0.918292985030691,-7.502088874288198,efficiency,1.0,40.0,0.4,1.6824732562046965,2.220446049250313e-16,44.0,Conditional base44 hourly mapping; not an identified set
empirical_sensitivity_topcoded44,bilateral,36,1.326,0.677145336520071,0.0011155514023328946,4.231715658950929,3.949500086808298,4.231715658950929,3.9494946260803614,-6.669058010683882,6.548250265327371,6.217076189217807,38.60008721172534,40.88680531975884,2.286718108033509,-2.1502533028957904,-1.6843650872683695,-6.61059750314853,0.75741794646167,-0.8158784539970169,-6.669058010683877,peak,0.6,38.0,0.4,1.6824732562046965,4.440892098500626e-16,44.0,Conditional base44 hourly mapping; not an identified set
empirical_sensitivity_topcoded44,bilateral,36,1.326,0.6766549330007342,0.0014594328457154147,4.21852506199893,3.9118938053840417,4.21852506199893,3.9118872541811163,-7.268684009419923,7.177345253628187,6.813795824544688,38.60008721172536,41.10474206151598,2.504654849790616,-2.9187968963823216,-2.2863909021661524,-6.647089533520407,0.26795491711072933,-0.8895493930102497,-7.268684009419928,peak,0.6,39.0,0.4,1.6824732562046965,2.220446049250313e-15,44.0,Conditional base44 hourly mapping; not an identified set
empirical_sensitivity_topcoded44,bilateral,36,1.326,0.6756514587578325,0.0021098039890823555,4.184726136567193,3.8333086095153623,4.184726136567193,3.833299700873009,-8.397623060229797,8.381260761025477,7.955503883426318,38.60008721172534,41.520828722211924,2.920741510486585,-4.365855055297139,-3.4199197933160925,-6.707031454034781,-0.6622119816838027,-1.0283796245112191,-8.397623060229801,peak,0.6,40.0,0.4,1.6824732562046965,4.440892098500626e-16,44.0,Conditional base44 hourly mapping; not an identified set
empirical_sensitivity_topcoded44,bilateral,36,1.326,0.6727055558596137,0.003805787903135696,4.088008157986804,3.626043517622989,4.088008157986804,3.62602658955103,-11.300482350096786,11.599087394856799,11.00552083420463,38.60008721172534,42.62624794815042,4.026160736425083,-8.087266121774888,-6.335025128723664,-6.823943180911262,-3.090447339036152,-1.3860918301493663,-11.30048235009678,peak,0.6,41.0,0.4,1.6824732562046965,1.5543122344752192e-15,44.0,Conditional base44 hourly mapping; not an identified set
empirical_sensitivity_topcoded44,bilateral,36,1.326,0.6652020507284598,0.0021098039890823555,4.015784052219013,3.6785595593066693,4.015784052219013,3.6785506530599585,-8.397475773778297,8.381211349970542,7.9555038834263625,38.60008721172536,41.52043598435225,2.9203487726268906,-4.365672925347157,-3.419777124855273,-6.70703145403483,-0.6622119816838014,-1.0282323380596592,-8.397475773778293,eta,0.6,40.0,0.33,1.6824732562046965,-1.0436096431476471e-14,44.0,Conditional base44 hourly mapping; not an identified set
empirical_sensitivity_topcoded44,bilateral,36,1.326,0.6756514587578325,0.0021098039890823555,4.184726136567193,3.8333086095153623,4.184726136567193,3.833299700873009,-8.397623060229797,8.381260761025477,7.955503883426318,38.60008721172534,41.520828722211924,2.920741510486585,-4.365855055297139,-3.4199197933160925,-6.707031454034781,-0.6622119816838027,-1.0283796245112191,-8.397623060229801,eta,0.6,40.0,0.4,1.6824732562046965,4.440892098500626e-16,44.0,Conditional base44 hourly mapping; not an identified set
empirical_sensitivity_topcoded44,bilateral,36,1.326,0.6875562083389861,0.0021098039890823555,4.382501273846111,4.014468410030703,4.382501273846111,4.0144594988174385,-8.397781103037083,8.381313777475263,7.955503883426318,38.60008721172536,41.52125013466838,2.9211629229430214,-4.366050482968855,-3.4200728783256027,-6.707031454034833,-0.6622119816837504,-1.0285376673184972,-8.39778110303708,eta,0.6,40.0,0.5,1.6824732562046965,6.661338147750939e-16,44.0,Conditional base44 hourly mapping; not an identified set
