version,efficiency_mode,hours_cap,sigma_sub,omega,Y0,Y1,dY_pct,A_req_pct,baseline_informality_pct,informality_pct,dInf_pp,dGHH_pct,CE_pct,metric_note,kappa,C0,C1,A_req_frozen_pct,hours_pct,efficiency_pct,reallocation_pct,decomposition_total_pct,input_note,implied_hourly_ratio,implied_weekly_ratio
rais_verified_only,flat_below,36,1.326,0.622,4.190939016654574,3.915825850445557,-6.564475529606417,6.633728639699554,35.29245270397281,36.67667364715675,1.384220943183928,-1.4491699698029432,-1.1351831430123056,,0.0021098039890823,4.190939016654574,3.9158224132985913,6.520256467425534,-7.046920742234111,0.925778450937183,-0.4433332383094912,-6.564475529606419,"RAIS 2022 establishment links verified; 50%/20% group informality and all other parameters still hypotheses, not matched PNAD universes",1.3976296640610175,1.3418515347407642
single_group_frozen_control,bilateral,40,1.326,0.622,4.276069601083694,4.192225810291405,-1.9607676818693465,1.9213707301683147,40.91580502215657,41.49963958786106,0.5838345657044886,0.2965555674300834,0.2323018611535653,,0.0021098039890823,4.276069601083694,4.192225454328384,1.8395124300423005,-2.7648635965699384,0.9585780143349084,-0.1544820996343135,-1.960767681869344,"Aggregation control: same frozen hours/technology, aggregate informality from corrected two-group baseline; blended gamma=.06 hypothesis",1.614561872856972,1.550126176294771
single_group_frozen_control,bilateral,36,1.326,0.622,4.276069601083694,3.939806034348951,-7.863846899253534,8.168119903102045,40.91580502215657,43.373019530301214,2.457214508144645,-3.826913757447434,-2.9977491100004903,,0.0021098039890823,4.276069601083694,3.939799728966703,7.819112460793676,-6.873015377275337,-0.3790499405846574,-0.6117815813935364,-7.863846899253532,"Aggregation control: same frozen hours/technology, aggregate informality from corrected two-group baseline; blended gamma=.06 hypothesis",1.614561872856972,1.550126176294771
single_group_frozen_control,flat_below,40,1.326,0.622,4.280803317742144,4.197047297506192,-1.9565491338697785,1.9169523543332008,40.9158050221566,41.498595480381006,0.5827904582244081,0.3020225082077894,0.2365842980961016,,0.0021098039890823,4.280803317742144,4.197046942815213,1.835207886453083,-2.758472401087776,0.9563374376089856,-0.1544141703909871,-1.9565491338697776,"Aggregation control: same frozen hours/technology, aggregate informality from corrected two-group baseline; blended gamma=.06 hypothesis",1.615539590250966,1.5510648738764048
single_group_frozen_control,flat_below,36,1.326,0.622,4.280803317742144,4.004246593943491,-6.460393138186027,6.615271754097152,40.9158050221566,42.911966639932174,1.996161617775577,-1.9751355890934252,-1.5471895447898498,,0.0021098039890823,4.280803317742144,4.004242432761796,6.332484535112903,-6.856698436985062,0.9013362889090364,-0.5050309901100012,-6.460393138186027,"Aggregation control: same frozen hours/technology, aggregate informality from corrected two-group baseline; blended gamma=.06 hypothesis",1.615539590250966,1.5510648738764048
reprocessed_data_fixed_omega,bilateral,40,1.326,0.622,3.931814600693436,3.9290443628336775,-0.0704569808370303,0.0683333544981401,38.60008721172536,38.61958241903001,0.0194952073046539,3.967356791358488,3.107762819897482,,0.0021098039890823,3.931814600693436,3.9290443624367777,0.0657641430540145,-2.888842658075725,2.823121735823036,-0.004736058584339,-0.0704569808370282,PNAD 2024Q4 national one-group; observed baseline habitual hours preserved; omega=.622 frozen technology hypothesis,1.2725240093051589,1.4855266928218271
reprocessed_data_fixed_omega,bilateral,36,1.326,0.622,3.931814600693436,3.692638711213203,-6.083091746951908,6.2576084524738285,38.60008721172536,40.37076010847588,1.7706728967505192,0.0518172197710811,0.0405901554873469,,0.0021098039890823,3.931814600693436,3.692635437037681,6.022103895785014,-7.016687246027548,1.3366416003530572,-0.4030461012774167,-6.083091746951909,PNAD 2024Q4 national one-group; observed baseline habitual hours preserved; omega=.622 frozen technology hypothesis,1.2725240093051589,1.4855266928218271
reprocessed_data_fixed_omega,flat_below,40,1.326,0.622,4.010492742761556,4.007743593496683,-0.0685489150886509,0.0665264928394249,38.60008721172533,38.6189935948434,0.0189063831180669,3.969762762509148,3.109647497298832,,0.0021098039890823,4.010492742761556,4.007743593123397,0.0640443708714189,-2.812326045404709,2.7483226650955417,-0.004545534779483,-0.068548915088651,PNAD 2024Q4 national one-group; observed baseline habitual hours preserved; omega=.622 frozen technology hypothesis,1.266952756643224,1.4790228905507183
reprocessed_data_fixed_omega,flat_below,36,1.326,0.622,4.010492742761556,3.828442507025814,-4.539348339784921,4.601324923678263,38.60008721172533,39.89991853094628,1.2998313192209454,2.028702790191066,1.5891505189830015,,0.0021098039890823,4.010492742761556,3.8284407426167832,4.429542763985372,-6.826921644026724,2.5852648802924474,-0.2976915760506439,-4.5393483397849215,PNAD 2024Q4 national one-group; observed baseline habitual hours preserved; omega=.622 frozen technology hypothesis,1.266952756643224,1.4790228905507183
reprocessed_data,bilateral,40,1.326,0.6772094354663557,4.131742533101652,4.128438530537526,-0.0799663226267233,0.0739489803804005,38.60008721172536,38.62607151109992,0.0259842993745595,3.955546248507696,3.098511227997695,,0.0021098039890823,4.131742533101652,4.128438529832431,0.0702729233240884,-3.084880386350426,3.014656811185477,-0.0097427474617786,-0.0799663226267271,"PNAD 2024Q4 national one-group; observed baseline habitual hours preserved; hourly remuneration bridge (includes mixed self-employment income); reform is habitual-hours proxy, not contracted hours",1.6224434531156182,1.8940177470704935
reprocessed_data,bilateral,36,1.326,0.6772094354663557,4.131742533101652,3.846373407311902,-6.906749960906367,6.796832176225576,38.60008721172536,40.97278799539435,2.3727007836689906,-1.007537030199391,-0.7892373403228561,,0.0021098039890823,4.131742533101652,3.846367528206784,6.452898084499381,-7.485937686842268,1.4241975176105683,-0.8450097916746638,-6.906749960906363,"PNAD 2024Q4 national one-group; observed baseline habitual hours preserved; hourly remuneration bridge (includes mixed self-employment income); reform is habitual-hours proxy, not contracted hours",1.6224434531156182,1.8940177470704935
reprocessed_data,flat_below,40,1.326,0.6781678312317156,4.2156191913416885,4.212331898914869,-0.0779788751690713,0.0721094960571377,38.60008721172534,38.62542661035632,0.0253393986309857,3.958050715223485,3.1004730602583965,,0.0021098039890823,4.2156191913416885,4.212331898244339,0.0685247149673218,-3.007111343293249,2.938633552536851,-0.0095010844126769,-0.0779788751690751,"PNAD 2024Q4 national one-group; observed baseline habitual hours preserved; hourly remuneration bridge (includes mixed self-employment income); reform is habitual-hours proxy, not contracted hours",1.622443453115617,1.8940177470704933
reprocessed_data,flat_below,36,1.326,0.6781678312317156,4.2156191913416885,3.99786972027968,-5.165302205408806,5.001265724228876,38.60008721172534,40.34941121145136,1.7493239997260268,1.223749551582381,0.9586038154061984,,0.0021098039890823,4.2156191913416885,3.997866524581267,4.749315805605736,-7.2930965412546,2.759113890313436,-0.6313195544676375,-5.165302205408802,"PNAD 2024Q4 national one-group; observed baseline habitual hours preserved; hourly remuneration bridge (includes mixed self-employment income); reform is habitual-hours proxy, not contracted hours",1.622443453115617,1.8940177470704933
reprocessed_topcoded44,bilateral,40,1.326,0.6756514587578325,4.184726136567193,4.114567073902902,-1.6765508751271252,1.572576081477184,38.60008721172534,39.15195635994256,0.5518691482172211,0.2249881084948079,0.1762406849875995,,0.0021098039890823,4.184726136567193,4.114566755851357,1.494071855542023,-2.2435240598822053,0.771446106729871,-0.2044729219747943,-1.6765508751271287,"Additional compliance/measurement hypothesis: formal baseline hours topcoded44, informal hours unchanged; hourly bridge denominator also topcoded44",1.682473256204697,1.894029079041785
reprocessed_topcoded44,bilateral,36,1.326,0.6756514587578325,4.184726136567193,3.8333086095153615,-8.397623060229797,8.381260761025477,38.60008721172534,41.52082872221192,2.920741510486585,-4.365855055297139,-3.4199197933160925,,0.0021098039890823,4.184726136567193,3.833299700873009,7.955503883426318,-6.707031454034781,-0.6622119816838027,-1.0283796245112191,-8.397623060229801,"Additional compliance/measurement hypothesis: formal baseline hours topcoded44, informal hours unchanged; hourly bridge denominator also topcoded44",1.682473256204697,1.894029079041785
reprocessed_topcoded44,flat_below,40,1.326,0.6766504686787346,4.268422256052508,4.19860031522371,-1.6357786704394697,1.5337648709667917,38.60008721172536,39.13838502425154,0.5382978125261839,0.2763005765178212,0.2164354516056266,,0.0021098039890823,4.268422256052508,4.198600012622606,1.4572024376819703,-2.1887591842589864,0.752486152211766,-0.1995056383922488,-1.6357786704394692,"Additional compliance/measurement hypothesis: formal baseline hours topcoded44, informal hours unchanged; hourly bridge denominator also topcoded44",1.6824732562046985,1.8940290790417875
reprocessed_topcoded44,flat_below,36,1.326,0.6766504686787346,4.268422256052508,3.984733429243401,-6.646222182138706,6.52441594956108,38.60008721172536,40.87859908582784,2.278511874102485,-2.1209845049641367,-1.661437862221907,,0.0021098039890823,4.268422256052508,3.984728007638436,6.194459453157797,-6.53973704950988,0.7066083862483395,-0.8130935188771633,-6.646222182138704,"Additional compliance/measurement hypothesis: formal baseline hours topcoded44, informal hours unchanged; hourly bridge denominator also topcoded44",1.6824732562046985,1.8940290790417875
