efficiency_mode,hours_cap,gain_pct,A_mult,dGHH_pct,CE_pct,dY_pct,Y0,Y1,C0_per_worker,C1_per_worker,hours0_per_worker,hours1_per_worker,informality_pct,max_kkt_violation,resource_residual
flat_below,36,2.1,1.021,0.6225489374636415,0.4876633343465191,-4.502437129857273,4.268422256052508,4.076239227536909,7.2346139933093365,6.908874345321306,38.22434720369175,35.03033063727637,40.39483022897795,1.2146316938355106e-15,0.0
flat_below,36,2.2,1.022,0.7530416261112249,0.5898826071204596,-4.400464673191284,4.268422256052508,4.080591842572283,7.2346139933093365,6.916251800920862,38.22434720369175,35.03015919141278,40.372342174029775,2.949788850681312e-15,0.0
flat_below,36,2.3000000000000003,1.023,0.8835207957372632,0.6920912899941896,-4.298502243994095,4.268422256052508,4.084944029592948,7.2346139933093365,6.923628528979383,38.22434720369175,35.029988117438585,40.349902898731685,1.545421776660838e-15,0.0
flat_below,36,2.4000000000000004,1.024,1.0139864819894346,0.7942894108917239,-4.196549816047057,4.268422256052508,4.089295789718025,7.2346139933093365,6.93100453140616,38.22434720369175,35.029817414291294,40.327512263719264,1.2246063538223773e-15,0.0
flat_below,36,2.5,1.025,1.1444387204258184,0.8964769976668909,-4.094607363195879,4.268422256052508,4.0936471240638905,7.2346139933093365,6.9383798101057605,38.22434720369175,35.02964708091179,40.305170130072554,2.953366717850514e-16,0.0
flat_below,36,2.6,1.026,1.2748775465148459,0.9986540781032959,-3.992674859350509,4.268422256052508,4.097998033744178,7.2346139933093365,6.945754366978033,38.22434720369175,35.02947711624437,40.282876359314685,1.3877787807814457e-16,0.0
flat_below,36,2.7,1.027,1.405302995635193,1.1008206799142346,-3.8907522784853654,4.268422256052508,4.102348519869769,7.2346139933093365,6.953128203918088,38.22434720369175,35.029307519236646,40.26063081341069,2.3310346708438345e-16,0.0
flat_below,36,2.8000000000000003,1.028,1.535715103075967,1.2029768307428408,-3.788839594639115,4.268422256052508,4.106698583548803,7.2346139933093365,6.96050132281632,38.22434720369175,35.02913828883964,40.23843335476622,1.0680475601154704e-15,0.0
flat_below,36,2.9000000000000004,1.029,1.6661139040368949,1.3051225581622345,-3.6869367819146626,4.268422256052508,4.111048225886677,7.2346139933093365,6.967873725558406,38.22434720369175,35.028969424007684,40.21628384622631,6.239583502654078e-16,0.0
flat_below,36,3.0,1.03,1.7964994336279163,1.4072578896752013,-3.585043814479316,4.268422256052508,4.115397447986039,7.2346139933093365,6.975245414025288,38.22434720369175,35.028800923698476,40.194182151074045,7.139471305817047e-16,0.0
flat_below,36,3.1,1.031,1.9268717268699658,1.5093828527148068,-3.4831606665644443,4.268422256052508,4.119746250946805,7.2346139933093365,6.982616390093214,38.22434720369175,35.02863278687303,40.17212813302939,9.36967517461973e-16,0.0
flat_below,36,3.2,1.032,2.057230818694019,1.6114974746436483,-3.3812873124659193,4.268422256052508,4.1240946358661335,7.2346139933093365,6.989986655633685,38.22434720369175,35.028465012495694,40.150121656247855,4.174178364069192e-16,0.0
flat_below,36,3.3000000000000003,1.033,2.1875767439421407,1.7136017827546768,-3.279423726543629,4.268422256052508,4.128442603838454,7.2346139933093365,6.99735621251351,38.22434720369175,35.02829759953412,40.128162585319295,1.4277858409461608e-15,0.0
flat_below,36,3.4000000000000004,1.034,2.317909537367015,1.8156958042708287,-3.177569883221687,4.268422256052508,4.132790155955452,7.2346139933093365,7.00472506259478,38.22434720369175,35.02813054695924,40.10625078526663,1.9949319973733282e-17,0.0
flat_below,36,3.5,1.035,2.4482292336320257,1.9177795663450867,-3.075725756988412,4.268422256052508,4.1371372933060755,7.2346139933093365,7.012093207734875,38.22434720369175,35.02796385374533,40.08438612154454,9.913944665207453e-16,0.0
flat_below,36,3.6,1.036,2.5785358673115035,2.0198530960606775,-2.9738913223961716,4.268422256052508,4.141484016976536,7.2346139933093365,7.0194606497864696,38.22434720369175,35.027797518869896,40.062568460038264,1.2867311383057967e-15,0.0
flat_below,36,3.7,1.037,2.708829472890729,2.1219164204310714,-2.8720665540614587,4.268422256052508,4.145830328050309,7.2346139933093365,7.026827390597539,38.22434720369175,35.027631541313745,40.040797667062314,2.7863995832877464e-16,0.0
flat_below,36,3.8000000000000003,1.038,2.839110084765838,2.223969566399907,-2.770251426664838,4.268422256052508,4.150176227608134,7.2346139933093365,7.034193432011349,38.22434720369175,35.02746592006094,40.01907360935927,6.657001339060997e-17,0.0
flat_below,36,3.9000000000000004,1.039,2.9693777372439776,2.326012560841116,-2.668445914951023,4.268422256052508,4.154521716728015,7.2346139933093365,7.041558775866462,38.22434720369175,35.027300654098795,39.997396154098446,3.7198976537977657e-16,0.0
flat_below,36,4.0,1.04,3.0996324645437294,2.428045430559255,-2.566649993728398,4.268422256052508,4.158866796485235,7.2346139933093365,7.048923423996768,38.22434720369175,35.027135742417876,39.97576516887469,7.405100838075995e-16,0.0
flat_below,36,4.1000000000000005,1.041,3.229874300794576,2.530068202289084,-2.4648636378695965,4.268422256052508,4.163211467952337,7.2346139933093365,7.056287378231445,38.22434720369175,35.026971184011984,39.95418052170712,2.1394019368570216e-15,0.0
flat_below,36,4.2,1.042,3.360103280037389,2.6320809026959546,-2.363086822311,4.268422256052508,4.167555732199141,7.2346139933093365,7.063650640394986,38.22434720369175,35.026806977878124,39.932642081037834,1.2911763672129872e-15,0.0
flat_below,36,4.3,1.043,3.490319436224239,2.7340835583756538,-2.2613195220530735,4.268422256052508,4.1718995902927345,7.2346139933093365,7.071013212307195,38.22434720369175,35.02664312301655,39.911149715730694,8.259994251080816e-16,0.0
flat_below,36,4.4,1.044,3.620522803219086,2.8360761958549507,-2.159561712159641,4.268422256052508,4.1762430432974975,7.2346139933093365,7.078375095783216,38.22434720369175,35.026479618430685,39.88970329507014,1.209969624493823e-16,0.0
flat_below,36,4.5,1.045,3.7507134147968704,2.9380588415908817,-2.0578133677588317,4.268422256052508,4.180586092275067,7.2346139933093365,7.085736292633487,38.22434720369175,35.02631646312718,39.868302688759805,9.913944665207453e-16,0.0
flat_below,36,4.6000000000000005,1.046,3.8808913046445466,3.040031521971562,-1.9560744640421235,4.268422256052508,4.184928738284374,7.2346139933093365,7.093096804663792,38.22434720369175,35.02615365611585,39.84694776692131,8.216084063095153e-16,0.0
flat_below,36,4.7,1.047,4.011056506360489,3.1419942633157163,-1.8543449762648878,4.268422256052508,4.189270982381626,7.2346139933093365,7.100456633675233,38.22434720369175,35.02599119640972,39.82563840009312,1.5187504032176946e-15,0.0
flat_below,36,4.800000000000001,1.048,4.1412090534550385,3.243947091873114,-1.7526248797459676,4.268422256052508,4.193612825620318,7.2346139933093365,7.107815781464252,38.22434720369175,35.02582908302494,39.80437445922913,1.9506965487359196e-15,0.0
flat_below,36,4.9,1.049,4.271348979350332,3.3458900338244266,-1.6509141498679214,4.268422256052508,4.197954269051226,7.2346139933093365,7.115174249822628,38.22434720369175,35.025667314980836,39.783155815697626,2.039438496553858e-15,0.0
flat_below,36,5.0,1.05,4.401476317380504,3.4478231152813956,-1.5492127620767127,4.268422256052508,4.20229531372242,7.2346139933093365,7.122532040537482,38.22434720369175,35.0255058912999,39.761982341279804,1.9540033653620004e-15,0.0
flat_below,36,5.1000000000000005,1.051,4.531591100791816,3.549746362286922,-1.4475206918818206,4.268422256052508,4.206635960679259,7.2346139933093365,7.129889155391285,38.22434720369175,35.025344811007734,39.74085390816868,1.5319776697220178e-16,0.0
flat_below,36,5.2,1.052,4.6616933627425405,3.6516598008149903,-1.3458379148561184,4.268422256052508,4.210976210964397,7.2346139933093365,7.137245596161854,38.22434720369175,35.02518407313311,39.71977038896786,1.7885541138407124e-15,0.0
flat_below,36,5.300000000000001,1.053,4.791783136303265,3.753563456770891,-1.2441644066359059,4.268422256052508,4.2153160656177775,7.2346139933093365,7.14460136462236,38.22434720369175,35.02502367670787,39.69873165669019,1.0103137944306173e-15,0.0
flat_below,36,5.4,1.054,4.921860454457125,3.8554573559914145,-1.142500142920555,4.268422256052508,4.2196555256766555,7.2346139933093365,7.1519564625413485,38.22434720369175,35.02486362076701,39.677737584756656,3.2976009076146617e-16,0.0
flat_below,36,5.5,1.055,5.051925350099533,3.957341524244635,-1.0408450994728757,4.268422256052508,4.223994592175576,7.2346139933093365,7.1593108916827175,38.22434720369175,35.02470390434859,39.656788046995025,2.698037106230178e-16,0.0
flat_below,36,5.6000000000000005,1.056,5.181977856038516,4.059215987230172,-0.9391992521187498,4.268422256052508,4.228333266146393,7.2346139933093365,7.16666465380574,38.22434720369175,35.0245445264938,39.635882917638675,1.1379786002407855e-15,0.0
flat_below,36,5.7,1.057,5.3120180049947106,4.161080770579191,-0.8375625767472084,4.268422256052508,4.232671548618264,7.2346139933093365,7.174017750665059,38.22434720369175,35.024385486246885,39.615022071325356,2.2540563165973637e-16,0.0
flat_below,36,5.800000000000001,1.058,5.442045829601706,4.26293589985467,-0.7359350493102323,4.268422256052508,4.237009440617659,7.2346139933093365,7.181370184010709,38.22434720369175,35.024226782655184,39.59420538309594,2.2182234347967178e-15,0.0
flat_below,36,5.9,1.059,5.572061362405827,4.364781400551231,-0.6343166458228633,4.268422256052508,4.2413469431683595,7.2346139933093365,7.1887219555880995,38.22434720369175,35.02406841476908,39.573432728393165,7.682656594232284e-16,0.0
flat_below,36,6.0,1.06,5.702064635866575,4.466617298095485,-0.5327073423629147,4.268422256052508,4.245684057291464,7.2346139933093365,7.196073067138041,38.22434720369175,35.02391038164203,39.55270398306048,2.1760479702870317e-15,0.0
flat_below,36,6.1000000000000005,1.061,5.832055682356327,4.56844361784579,-0.43110711507119426,4.268422256052508,4.250020784005383,7.2346139933093365,7.203423520396728,38.22434720369175,35.023752682330525,39.53201902334079,4.992751004295748e-17,0.0
flat_below,36,6.2,1.062,5.962034534160965,4.670260385092756,-0.32951594015108165,4.268422256052508,4.254357124325859,7.2346139933093365,7.210773317095771,38.22434720369175,35.023595315894084,39.51137772587516,1.1557595158695477e-15,0.0
flat_below,36,6.300000000000001,1.063,6.09200122347954,4.772067625058974,-0.2279337938687953,4.268422256052508,4.258693079265948,7.2346139933093365,7.218122458962177,38.22434720369175,35.02343828139527,39.49077996770173,1.0147590233378079e-15,0.0
flat_below,36,6.4,1.064,6.221955782424567,4.873865362899245,-0.1263606525531369,4.268422256052508,4.263028649836037,7.2346139933093365,7.2254709477183665,38.22434720369175,35.023281577899645,39.47022562625431,1.4577098209067607e-15,0.0
flat_below,36,6.5,1.065,6.351898243022341,4.975653623700834,-0.024796492595280384,4.268422256052508,4.267363837043851,7.2346139933093365,7.232818785082193,38.22434720369175,35.02312520447581,39.449714579361356,9.814198065338786e-16,0.0
flat_below,36,6.6000000000000005,1.066,6.4818286372126925,5.077432432483277,0.07675870955095032,4.268422256052508,4.27169864189444,7.2346139933093365,7.24016597276692,38.22434720369175,35.022969160195316,39.42924670524455,3.3528952184114225e-16,0.0
flat_below,36,6.7,1.067,6.6117469968492255,5.179201814198561,0.17830497736941453,4.268422256052508,4.276033065390194,7.2346139933093365,7.247512512481242,38.22434720369175,35.022813444132765,39.408821882517785,4.329761375820862e-16,0.0
flat_below,36,6.800000000000001,1.068,6.741653353699687,5.280961793731421,0.2798423342816658,4.268422256052508,4.280367108530844,7.2346139933093365,7.2548584059292995,38.22434720369175,35.022658055365675,39.3884399901858,8.660064852727967e-16,0.0
flat_below,36,6.9,1.069,6.87154773944567,5.382712395899109,0.3813708036470187,4.268422256052508,4.284700772313464,7.2346139933093365,7.262203654810664,38.22434720369175,35.02250299297459,39.368100907643054,3.69712940817557e-16,0.0
flat_below,36,7.0,1.07,7.001430185683217,5.484453645451854,0.48289040876270395,4.268422256052508,4.289034057732478,7.2346139933093365,7.269548260820368,38.22434720369175,35.02234825604297,39.34780451467243,5.373848067924403e-16,0.0
flat_below,36,7.1000000000000005,1.071,7.1313007239226085,5.58618556707271,0.5844011728638465,4.268422256052508,4.2933669657796605,7.2346139933093365,7.276892225648896,38.22434720369175,35.02219384365726,39.32755069144412,8.315830662963819e-16,0.0
flat_below,36,7.2,1.072,7.261159385588551,5.687908185377697,0.6859031191236431,4.268422256052508,4.29769949744414,7.2346139933093365,7.2842355509821894,38.22434720369175,35.02203975490684,39.30733931851434,1.6764476092057112e-15,0.0
flat_below,36,7.300000000000001,1.073,7.3910062020203515,5.789621524915942,0.7873962706532955,4.268422256052508,4.302031653712401,7.2346139933093365,7.2915782385016605,38.22434720369175,35.021885988884016,39.28717027682415,1.8984380040221183e-16,0.0
flat_below,36,7.4,1.074,7.520841204471969,5.891325610169709,0.8888806505022329,4.268422256052508,4.30636343556829,7.2346139933093365,7.298920289884192,38.22434720369175,35.02173254468403,39.26704344769829,6.0509323246416e-16,0.0
