case,experiment,input_kind,efficiency_mode,h0,h1,sector,sigma_sub,omega,eta_I,e_q,peak,hours_mixing,kappa,A_req_pct,A_req_frozen_pct,dY_pct,dInf_pp,dGHH_pct,CE_pct,classification
0,CES_grid,reprocessed,flat_below,120.0,40,services,1.1,0.55,0.3,0.6,40.0,0.0,0.0021098039890823555,-0.06335483282271515,-0.06392947113759151,0.06405096352002371,0.0004304969117352453,4.33626829427434,3.396743497181566,sensitivity_not_identified_set
0,CES_grid,reprocessed,flat_below,120.0,40,AGGREGATE,1.1,0.55,0.3,0.6,40.0,0.0,0.0021098039890823555,0.026357707026503086,0.043605983635019996,-0.026968681628447566,-0.010173125366236269,4.021439339582488,3.1501274826729495,sensitivity_not_identified_set
0,CES_grid,reprocessed,flat_below,120.0,36,agriculture,1.1,0.55,0.3,0.6,40.0,0.0,0.0021098039890823555,2.9496479713009505,2.836767168904908,-3.5543902139440586,0.7364423765951367,0.29540111435360905,0.2313975395769938,sensitivity_not_identified_set
0,CES_grid,reprocessed,flat_below,120.0,36,industry,1.1,0.55,0.3,0.6,40.0,0.0,0.0021098039890823555,4.576642326158575,4.585558489382846,-4.377684873140375,0.22606378218966716,2.1293958104651076,1.6680267181976678,sensitivity_not_identified_set
0,CES_grid,reprocessed,flat_below,120.0,36,services,1.1,0.55,0.3,0.6,40.0,0.0,0.0021098039890823555,3.49170764322706,3.524610263560146,-3.4094871963987305,-0.026116955625399285,3.8159127874755026,2.989131683522477,sensitivity_not_identified_set
0,CES_grid,reprocessed,flat_below,120.0,36,AGGREGATE,1.1,0.55,0.3,0.6,40.0,0.0,0.0021098039890823555,3.6924768368547856,3.723460022907954,-3.644382996911899,0.08328774412686424,3.1873656231971332,2.496769738171088,sensitivity_not_identified_set
1,CES_grid,reprocessed,bilateral,120.0,40,agriculture,1.1,0.55,0.4,0.6,40.0,0.0,0.0021098039890823555,-0.8694826736201811,-0.8366246575989278,1.0830364024630557,-0.2208157012278722,4.393307106641432,3.441423900202454,sensitivity_not_identified_set
1,CES_grid,reprocessed,bilateral,120.0,40,industry,1.1,0.55,0.4,0.6,40.0,0.0,0.0021098039890823555,0.6212701576012059,0.6229612829748099,-0.6178946644314509,0.027325731073507553,2.949210204488698,2.3102146601828135,sensitivity_not_identified_set
1,CES_grid,reprocessed,bilateral,120.0,40,services,1.1,0.55,0.4,0.6,40.0,0.0,0.0021098039890823555,-0.0646318576895788,-0.06526687588305213,0.06545298227367269,0.0007035045813064134,4.338073154109472,3.3981573040524196,sensitivity_not_identified_set
1,CES_grid,reprocessed,bilateral,120.0,40,AGGREGATE,1.1,0.55,0.4,0.6,40.0,0.0,0.0021098039890823555,0.026769898980916196,0.04389264919817393,-0.027414403091041706,-0.01062502955200273,4.020858474517768,3.149672471705585,sensitivity_not_identified_set
1,CES_grid,reprocessed,bilateral,120.0,36,agriculture,1.1,0.55,0.4,0.6,40.0,0.0,0.0021098039890823555,4.196311555695997,4.034374234040805,-4.959828932805877,1.0274081777305377,-1.4998626644763473,-1.1748924205064717,sensitivity_not_identified_set
1,CES_grid,reprocessed,bilateral,120.0,36,industry,1.1,0.55,0.4,0.6,40.0,0.0,0.0021098039890823555,5.8511873906495815,5.869141666186284,-5.532038586671106,0.2490403612440517,0.6551644273760118,0.5132121347778759,sensitivity_not_identified_set
1,CES_grid,reprocessed,bilateral,120.0,36,services,1.1,0.55,0.4,0.6,40.0,0.0,0.0021098039890823555,4.748726195393882,4.797770288431691,-4.5894409922394575,-0.05579990221288855,2.3097997453225356,1.809343133835986,sensitivity_not_identified_set
1,CES_grid,reprocessed,bilateral,120.0,36,AGGREGATE,1.1,0.55,0.4,0.6,40.0,0.0,0.0021098039890823555,4.955703139492296,4.99668565757605,-4.836673880779674,0.08867744347512696,1.6652483840437715,1.3044445675009544,sensitivity_not_identified_set
