version,efficiency_mode,hours_cap,sigma_sub,omega,kappa,Y0,Y1,C0,C1,dY_pct,A_req_pct,A_req_frozen_pct,baseline_informality_pct,informality_pct,dInf_pp,dGHH_pct,CE_pct,hours_pct,efficiency_pct,reallocation_pct,decomposition_total_pct,dimension,eta_I,E_Q,h_star,hourly_ratio,passes_assumed_R_interval,restrictions_note,theta_36,theta_40,theta_44
sensitivity,bilateral,40,1.116,0.58,0.0021098039890823555,3.9380535656296196,3.8725175844977064,3.9380535656296196,3.8725174988162054,-1.6641719072562955,1.62943027894078,1.6244504322683984,40.91580502215659,41.09278975136196,0.1769847292053761,0.7069445050290011,0.5537731956060509,-2.4491069404116548,0.8506230860255641,-0.06568805287020923,-1.6641719072563,CES_grid,0.5,0.6,40.0,1.1310539266653599,False,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,1.116,0.622,0.0021098039890823555,3.7097847634723977,3.6417082220183197,3.7097847634723977,3.6417080493301226,-1.8350536700775466,1.7747649655085906,1.7610228614976409,40.915805022156576,41.18284209562445,0.267037073467874,0.4817695806882271,0.37738617153911125,-2.6506478917935743,0.9201003678221426,-0.10450614610611954,-1.8350536700775515,CES_grid,0.33,0.6,40.0,1.4090827005012994,True,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,1.116,0.622,0.0021098039890823555,3.871305808584413,3.800888576620455,3.871305808584413,3.8008884137619505,-1.8189529695073925,1.7618668840045704,1.748869970337208,40.91580502215657,41.17395530269763,0.2581502805410585,0.503017540918764,0.39403040705303183,-2.6327406717094597,0.9139304570632922,-0.10014275486122158,-1.818952969507389,CES_grid,0.4,0.6,40.0,1.381023601739521,True,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,1.116,0.622,0.0021098039890823555,4.070384122047015,3.9971011302124264,4.070384122047015,3.9971009782389175,-1.80039499067558,1.7467962016798566,1.7346784403200255,40.91580502215657,41.16381968805019,0.24801466589361998,0.527499895050012,0.4132082511225093,-2.6118228869850286,0.90672245622324,-0.0952945599137885,-1.8003949906755772,CES_grid,0.5,0.6,40.0,1.349174238572892,True,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,1.116,0.66,0.0021098039890823555,3.8605226312074947,3.7843919936307846,3.8605226312074947,3.7843917213131477,-1.972029304045242,1.8778231048074856,1.858344648276944,40.9158050221566,41.26240333906863,0.3465983169120279,0.30069646889193896,0.23554556729868553,-2.793862022461697,0.9694217621237574,-0.14758904370729994,-1.9720293040452395,CES_grid,0.33,0.6,40.0,1.6638537908925268,False,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,1.116,0.66,0.0021098039890823555,4.010364448746296,3.931957149078571,4.010364448746296,3.9319568905462035,-1.9551165653345137,1.8657121783344444,1.8468788607671538,40.91580502215657,41.252289229757906,0.33648420760133413,0.32307715619234845,0.25307710568400626,-2.777006956957139,0.9636191718567483,-0.141728780234128,-1.9551165653345188,CES_grid,0.4,0.6,40.0,1.6307317461083468,False,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,1.116,0.66,0.0021098039890823555,4.1942848074974615,4.113099342855313,4.1942848074974615,4.113099099666201,-1.935621169478663,1.8515374683405916,1.833468301655583,40.915805022156555,41.240744473315466,0.3249394511589121,0.34886651503532273,0.2732787701110028,-2.7572871095057367,0.9568296251113007,-0.13516368508422988,-1.9356211694786658,CES_grid,0.5,0.6,40.0,1.5931350011358696,False,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,1.326,0.58,0.0021098039890823555,3.6725212573874284,3.60294769034986,3.6725212573874284,3.60294725900345,-1.8944360607203725,1.8354738749634114,1.7934158863256444,40.915805022156675,41.37981941915652,0.46401439699984004,0.39058274174414154,0.3059564810329109,-2.696978889113692,0.9351597471680335,-0.13261691877471035,-1.894436060720369,CES_grid,0.33,0.6,40.0,1.4919995718316734,True,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,1.326,0.58,0.0021098039890823555,3.8277910386045195,3.756904429202568,3.8277910386045195,3.7569040376800196,-1.8518933945724014,1.8018362147572242,1.7649244580347112,40.91580502215661,41.355409032397326,0.43960401024071283,0.4467995934237118,0.34999301484857426,-2.6549984891056218,0.9206833825656349,-0.11757828803241276,-1.8518933945723997,CES_grid,0.4,0.6,40.0,1.422400546181623,True,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,1.326,0.58,0.0021098039890823555,4.022860580015427,3.95031607273501,4.022860580015427,3.950315723688374,-1.8033065237408552,1.7620301922382842,1.731323854885991,40.91580502215657,41.328214724083736,0.4124097019271633,0.5109496545813152,0.4002438960886969,-2.605454777411088,0.9035956161604024,-0.10144736249016952,-1.8033065237408548,CES_grid,0.5,0.6,40.0,1.3457134449526504,True,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,1.326,0.622,0.0021098039890823555,3.8324986587652212,3.7536337323615925,3.8324986587652212,3.7536331235483065,-2.057793972693467,1.9543001786300307,1.894808595505726,40.91580502215663,41.47925854759432,0.5634535254376849,0.17427362597108328,0.13651434034401524,-2.8461527670440647,0.9865795251651853,-0.1982207308145891,-2.0577939726934686,CES_grid,0.33,0.6,40.0,1.780841782262826,False,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,1.326,0.622,0.0021098039890823555,3.975613678726516,3.8955898125159076,3.975613678726516,3.895589256118815,-2.012868268333401,1.9231982861923624,1.8681310076982038,40.91580502215657,41.45115195205465,0.5353469298980784,0.23382205278636783,0.18316060801598813,-2.8069369956645045,0.9730651171699081,-0.17899638983880647,-2.0128682683334027,CES_grid,0.4,0.6,40.0,1.6978189750753263,False,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,1.326,0.622,0.0021098039890823555,4.154833391117819,4.073332987507727,4.154833391117819,4.073332487424944,-1.9615805481953408,1.8862331986081005,1.8365434080230614,40.915805022156576,41.419858616221305,0.5040535940647295,0.30174090038801477,0.2363637053039449,-2.7604725546741102,0.9570497885805378,-0.1581577821017721,-1.9615805481953446,CES_grid,0.5,0.6,40.0,1.6063356103231163,False,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,1.326,0.66,0.0021098039890823555,3.9814606535054224,3.893048985267362,3.9814606535054224,3.8930481613564063,-2.22058374883648,2.057364417201213,1.9837820974677012,40.9158050221566,41.58720190924367,0.6713968870870723,-0.04197669779660695,-0.03288174660734211,-2.9767697696595605,1.0315760764390383,-0.27539005561596047,-2.220583748836483,CES_grid,0.33,0.6,40.0,2.103969339217331,False,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,1.326,0.66,0.0021098039890823555,4.112961460225635,4.0235828746499855,4.112961460225635,4.023582117141251,-2.173095625621202,2.0287827684882354,1.9590079956884887,40.91580502215658,41.554839519604265,0.6390344974476825,0.02117616904612033,0.01658799908612759,-2.9404270351545407,1.019058796880458,-0.2517273873471212,-2.1730956256212037,CES_grid,0.4,0.6,40.0,2.0059448257176653,False,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,1.326,0.66,0.0021098039890823555,4.277169059793647,4.186536676523453,4.277169059793647,4.186535990824332,-2.118980615523458,1.9947252414791672,1.9295710704900548,40.91580502215658,41.518944279521264,0.6031392573646821,0.09306467321605548,0.07290066068591013,-2.89721728884625,1.004173837151893,-0.22593716382910525,-2.1189806155234625,CES_grid,0.5,0.6,40.0,1.8979254728565809,False,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,1.469,0.58,0.0021098039890823555,3.735176363686028,3.6596577164837947,3.735176363686028,3.6596569317443373,-2.0218227962791158,1.9387872780335158,1.8621126693880052,40.91580502215658,41.57083399944724,0.6550289772906559,0.213038297878728,0.16688000000500364,-2.7974070692249726,0.969335158492252,-0.19375088554639222,-2.0218227962791127,CES_grid,0.33,0.6,40.0,1.682380229916425,False,R interval is a hypothesis; other empirical restrictions not imposed,,,
sensitivity,bilateral,40,1.469,0.58,0.0021098039890823555,3.8811774483164703,3.805077861204121,3.8811774483164703,3.805077153381857,-1.9607345483613092,1.8941365623548867,1.8265415037686195,40.915805022156576,41.53311923692144,0.6173142147648691,0.293971450172297,0.23027763596829928,-2.7450565033293777,0.9512790885273463,-0.16695713355928204,-1.9607345483613137,CES_grid,0.4,0.6,40.0,1.5811724684866155,False,R interval is a hypothesis; other empirical restrictions not imposed,,,
